1170|Bmo_CPH32|CPH32|CPH|Bmo|Bombyx mori
1330|Bmo_CPH33|CPH33|CPH|Bmo|Bombyx mori
1113|Bmo_CPH34|CPH34|CPH|Bmo|Bombyx mori
1326|Bmo_CPH35|CPH35|CPH|Bmo|Bombyx mori
1055|Bmo_CPH36|CPH36|CPH|Bmo|Bombyx mori
1201|Bmo_CPH37|CPH37|CPH|Bmo|Bombyx mori
1202|Bmo_CPH38|CPH38|CPH|Bmo|Bombyx mori
1203|Bmo_CPH39|CPH39|CPH|Bmo|Bombyx mori
1065|Bmo_CPH4|CPH4|CPH|Bmo|Bombyx mori
1204|Bmo_CPH40|CPH40|CPH|Bmo|Bombyx mori
1141|Bmo_CPH41|CPH41|CPH|Bmo|Bombyx mori
1173|Bmo_CPH42|CPH42|CPH|Bmo|Bombyx mori
1101|Bmo_CPH43|CPH43|CPH|Bmo|Bombyx mori
1100|Bmo_CPH44|CPH44|CPH|Bmo|Bombyx mori
62|Bmo_CPH45|CPH45|CPH|Bmo|Bombyx mori
1098|Bmo_CPH46|CPH46|CPH|Bmo|Bombyx mori
1112|Bmo_CPH47|CPH47|CPH|Bmo|Bombyx mori
217|Bmo_CPH5|CPH5|CPH|Bmo|Bombyx mori
1132|Bmo_CPH6|CPH6|CPH|Bmo|Bombyx mori
1131|Bmo_CPH7|CPH7|CPH|Bmo|Bombyx mori
1130|Bmo_CPH8|CPH8|CPH|Bmo|Bombyx mori
1129|Bmo_CPH9|CPH9|CPH|Bmo|Bombyx mori
9|Lmi_CPH-1|CPH-1|CPH|Lmi|Locusta migratoria
248|Bmo_GRP1|GRP1|CPT|Bmo|Bombyx mori
