1801|Dgr_Tweedle21|Tweedle21|Tweedle|Dgr|Drosophila grimshawi
1802|Dgr_Tweedle22|Tweedle22|Tweedle|Dgr|Drosophila grimshawi
1803|Dgr_Tweedle23|Tweedle23|Tweedle|Dgr|Drosophila grimshawi
1804|Dgr_Tweedle24|Tweedle24|Tweedle|Dgr|Drosophila grimshawi
1805|Dgr_Tweedle25|Tweedle25|Tweedle|Dgr|Drosophila grimshawi
1806|Dgr_Tweedle26|Tweedle26|Tweedle|Dgr|Drosophila grimshawi
1807|Dgr_Tweedle27|Tweedle27|Tweedle|Dgr|Drosophila grimshawi
1808|Dgr_Tweedle3|Tweedle3|Tweedle|Dgr|Drosophila grimshawi
1809|Dgr_Tweedle4|Tweedle4|Tweedle|Dgr|Drosophila grimshawi
1810|Dgr_Tweedle5|Tweedle5|Tweedle|Dgr|Drosophila grimshawi
1811|Dgr_Tweedle6|Tweedle6|Tweedle|Dgr|Drosophila grimshawi
1812|Dgr_Tweedle7|Tweedle7|Tweedle|Dgr|Drosophila grimshawi
1813|Dgr_Tweedle8|Tweedle8|Tweedle|Dgr|Drosophila grimshawi
1814|Dgr_Tweedle9|Tweedle9|Tweedle|Dgr|Drosophila grimshawi
1346|Dme_CG14638|CG14638|Tweedle|Dme|Drosophila melanogaster
1360|Dme_CG5480|CG5480|Tweedle|Dme|Drosophila melanogaster
1365|Dme_CG6478|CG6478|Tweedle|Dme|Drosophila melanogaster
86|Dme_TwdlD|TwdlD|Tweedle|Dme|Drosophila melanogaster
1344|Dme_TweedleC|TweedleC|Tweedle|Dme|Drosophila melanogaster
1345|Dme_TweedleE|TweedleE|Tweedle|Dme|Drosophila melanogaster
1347|Dme_TweedleF|TweedleF|Tweedle|Dme|Drosophila melanogaster
1349|Dme_TweedleG|TweedleG|Tweedle|Dme|Drosophila melanogaster
1350|Dme_TweedleH|TweedleH|Tweedle|Dme|Drosophila melanogaster
1358|Dme_TweedleJ|TweedleJ|Tweedle|Dme|Drosophila melanogaster
1364|Dme_TweedleK|TweedleK|Tweedle|Dme|Drosophila melanogaster
1362|Dme_TweedleL|TweedleL|Tweedle|Dme|Drosophila melanogaster
1357|Dme_TweedleM|TweedleM|Tweedle|Dme|Drosophila melanogaster
1359|Dme_TweedleN|TweedleN|Tweedle|Dme|Drosophila melanogaster
1363|Dme_TweedleO|TweedleO|Tweedle|Dme|Drosophila melanogaster
1341|Dme_TweedleP|TweedleP|Tweedle|Dme|Drosophila melanogaster
1343|Dme_TweedleQ|TweedleQ|Tweedle|Dme|Drosophila melanogaster
1351|Dme_TweedleR|TweedleR|Tweedle|Dme|Drosophila melanogaster
1342|Dme_TweedleS|TweedleS|Tweedle|Dme|Drosophila melanogaster
1361|Dme_TweedleT|TweedleT|Tweedle|Dme|Drosophila melanogaster
1348|Dme_TweedleV|TweedleV|Tweedle|Dme|Drosophila melanogaster
1356|Dme_TweedleW|TweedleW|Tweedle|Dme|Drosophila melanogaster
1354|Dme_TweedleX|TweedleX|Tweedle|Dme|Drosophila melanogaster
1353|Dme_TweedleY|TweedleY|Tweedle|Dme|Drosophila melanogaster
1352|Dme_TweedleZ|TweedleZ|Tweedle|Dme|Drosophila melanogaster
1355|Dme_Tweedlealpha|Tweedlealpha|Tweedle|Dme|Drosophila melanogaster
1366|Dme_Tweedlebeta|Tweedlebeta|Tweedle|Dme|Drosophila melanogaster
1920|Dmo_Tweedle1|Tweedle1|Tweedle|Dmo|Drosophila mojavensis
1921|Dmo_Tweedle10|Tweedle10|Tweedle|Dmo|Drosophila mojavensis
1922|Dmo_Tweedle11|Tweedle11|Tweedle|Dmo|Drosophila mojavensis
1923|Dmo_Tweedle12|Tweedle12|Tweedle|Dmo|Drosophila mojavensis
1924|Dmo_Tweedle13|Tweedle13|Tweedle|Dmo|Drosophila mojavensis
1925|Dmo_Tweedle14|Tweedle14|Tweedle|Dmo|Drosophila mojavensis
1926|Dmo_Tweedle15|Tweedle15|Tweedle|Dmo|Drosophila mojavensis
1927|Dmo_Tweedle16|Tweedle16|Tweedle|Dmo|Drosophila mojavensis
1928|Dmo_Tweedle17|Tweedle17|Tweedle|Dmo|Drosophila mojavensis
1929|Dmo_Tweedle18|Tweedle18|Tweedle|Dmo|Drosophila mojavensis
1930|Dmo_Tweedle19|Tweedle19|Tweedle|Dmo|Drosophila mojavensis
1931|Dmo_Tweedle2|Tweedle2|Tweedle|Dmo|Drosophila mojavensis
1932|Dmo_Tweedle20|Tweedle20|Tweedle|Dmo|Drosophila mojavensis
1933|Dmo_Tweedle21|Tweedle21|Tweedle|Dmo|Drosophila mojavensis
